date,campaign,ad_id,spend
2019-02-11,11484480,32631604,49.180
2019-02-11,11484485,32631612,33.190
2019-02-11,11484611,32631778,2.520
2019-02-11,11487692,32636729,7.080
2019-02-11,11487692,32636730,7.470
2019-02-11,11487692,32636731,1.180
2019-02-11,11487692,32636732,1.750
2019-02-11,11487692,32636733,3.970
2019-02-11,11487738,32636798,42.890
2019-02-11,11487745,32636813,61.840
2019-02-11,11488819,32638585,0.000
2019-02-11,11488819,32638588,0.000
2019-02-11,11488819,32638589,0.000
2019-02-11,11488831,32638613,0.000
2019-02-11,11488835,32638620,230.000
2019-02-11,11491346,32641692,0.000
2019-02-11,11491346,32641695,0.000
2019-02-11,11491395,32641769,0.000
2019-02-11,11491395,32641771,0.000
2019-02-11,11491429,32641825,0.000
2019-02-11,11506887,32663046,0.000
2019-02-11,11506887,32663048,0.000
2019-02-11,11517044,32676829,16.450
2019-02-11,11531497,32701506,350.500
2019-02-11,11531515,32701525,187.910
2019-02-11,11531547,32701582,20.290
2019-02-11,11531557,32701599,24.610
2019-02-11,11532401,32702811,543.230
2019-02-11,11532402,32702815,36.000
2019-02-11,11545817,32721024,146.200
2019-02-11,11545817,32721025,0.000
2019-02-11,11545831,32721042,132.790
2019-02-11,11545831,32721043,28.150
2019-02-11,11545842,32721061,0.000
2019-02-11,11545842,32721062,0.000
2019-02-11,11581265,32784190,230.000
2019-02-11,11581265,32784191,0.000
2019-02-11,11581265,32784192,0.000
2019-02-11,11581294,32784237,102.300
2019-02-11,11581294,32784238,0.000
2019-02-11,11582321,32785700,189.910
2019-02-11,11582383,32785814,8.410
2019-02-11,11588413,32793136,57.500
2019-02-11,11597267,32805031,146.660
2019-02-11,11597267,32805032,203.110
2019-02-11,11597335,32805106,24.960
2019-02-11,11597335,32805107,30.730
2019-02-11,11597441,32805266,4.690
2019-02-11,11597441,32805267,3.830
2019-02-11,11597520,32805357,8.650
2019-02-11,11597520,32805359,19.790
2019-02-11,11597520,32805360,27.280
2019-02-11,11597756,32805636,0.000
2019-02-11,11597756,32805637,0.000
2019-02-11,11597756,32805638,0.000
2019-02-11,11597756,32805639,0.000
2019-02-11,11597756,32805640,0.000
2019-02-11,11597756,32805641,0.000
2019-02-11,11597870,32805844,0.000
2019-02-11,11597870,32805845,0.000
2019-02-11,11597870,32805846,0.000
2019-02-11,11597870,32805847,0.000
2019-02-11,11597870,32805848,0.000
2019-02-11,11597870,32805849,0.000
2019-02-11,11597897,32805885,0.000
2019-02-11,11597897,32805886,0.000
2019-02-11,11597897,32805887,0.000
2019-02-11,11597897,32805888,0.000
2019-02-11,11597897,32805889,0.000
2019-02-11,11661745,32877458,279.430
2019-02-11,11661745,32877459,280.280
2019-02-11,11661745,32877460,287.060
2019-02-11,11661745,32877461,280.540
2019-02-11,11661745,32877462,281.350
2019-02-11,11661919,32877642,25.720
2019-02-11,11661919,32877643,23.820
2019-02-11,11661919,32877644,25.830
2019-02-11,11661919,32877645,24.050
2019-02-11,11661919,32877646,23.910
2019-02-11,11662162,32877939,66.520
2019-02-11,11662162,32877940,69.210
2019-02-11,11662162,32877941,70.740
2019-02-11,11662162,32877942,64.110
2019-02-11,11662162,32877943,68.740
2019-02-11,11662246,32878028,4.480
2019-02-11,11662246,32878029,5.300
2019-02-11,11662246,32878030,5.110
2019-02-11,11662246,32878031,4.900
2019-02-11,11662246,32878032,4.310
2019-02-11,11795929,33082100,85.000
2019-02-11,11795929,33082103,0.000
2019-02-11,11819050,33115441,105.300
2019-02-11,11819050,33115442,0.000
2019-02-11,11819050,33115443,0.000
2019-02-11,11819050,33115444,0.000
2019-02-11,11819050,33115445,0.000
2019-02-11,11819050,33115446,0.000
2019-02-11,11819102,33115521,210.100
2019-02-11,11819142,33115568,0.000
2019-02-11,11819142,33115569,0.000
2019-02-11,11819142,33115570,0.000
2019-02-11,11819142,33115571,0.000
2019-02-11,11819166,33115609,70.000
2019-02-11,11819166,33115612,0.000
2019-02-11,11819166,33115614,0.000
2019-02-11,11823649,33121966,61.800
2019-02-11,11823649,33121967,255.400
2019-02-11,11823649,33121968,106.000
2019-02-11,11823780,33122159,86.800
2019-02-11,11823861,33122295,0.000
2019-02-11,11823861,33122296,0.000
2019-02-11,11823861,33122297,0.000
2019-02-11,11823941,33122478,0.000
2019-02-11,11823941,33122479,0.000
2019-02-11,11823941,33122480,0.000
2019-02-11,12178676,33619957,125.370
2019-02-11,12178676,33619958,647.520
2019-02-11,12178711,33620003,7.910
2019-02-11,12178711,33620004,33.430
2019-02-11,12178711,33620007,6.330
2019-02-11,12178750,33620049,59.810
2019-02-11,12178768,33620099,1.500
2019-02-11,12178768,33620100,2.130
2019-02-11,12178768,33620101,18.570
2019-02-11,12190679,33640355,9.210
